name,prediction
D-Mannitol_out_ligand_n19,0.99995387
D-Mannitol_out_ligand_n5,0.99993104
D-Sorbitol_out_ligand_n16,0.9997914
DL-Xylose_out_ligand_n11,0.99969757
D-Mannitol_out_ligand_n6,0.9996934
D-Sorbitol_out_ligand_n13,0.9995792
D-Mannitol_out_ligand_n14,0.99956065
DL-Xylose_out_ligand_n3,0.9994869
D-Mannitol_out_ligand_n17,0.9994496
D-Sorbitol_out_ligand_n10,0.99944365
Glucosamine_out_ligand_n8,0.9992629
Glucosamine_out_ligand_n3,0.99923927
Glucosamine_out_ligand_n7,0.99909306
Meglumine_out_ligand_n11,0.99888164
D-Mannitol_out_ligand_n8,0.99884397
Xylitol_out_ligand_n6,0.9987335
serine_out_ligand_n9,0.9986851
Mandelic_acid_out_ligand_n4,0.99844855
DL-Xylose_out_ligand_n13,0.998409
Meglumine_out_ligand_n9,0.9982357
Xylitol_out_ligand_n3,0.9970964
D-Sorbitol_out_ligand_n2,0.9965834
Meglumine_out_ligand_n12,0.99658155
DL-Xylose_out_ligand_n7,0.9962329
D-Sorbitol_out_ligand_n9,0.9957837
D-Mannitol_out_ligand_n18,0.9953765
D-Sorbitol_out_ligand_n20,0.9951648
D-Sorbitol_out_ligand_n11,0.9951179
Glucosamine_out_ligand_n2,0.9950794
D-Sorbitol_out_ligand_n12,0.99474776
Chloramphenicol_out_ligand_n1,0.99391484
Xylitol_out_ligand_n2,0.9935553
Meglumine_out_ligand_n20,0.9930374
D-Mannitol_out_ligand_n13,0.992993
L-Aspartic_acid_out_ligand_n18,0.99050456
Clofarabine_out_ligand_n15,0.99006253
Gemcitabine_out_ligand_n18,0.9893979
D-Sorbitol_out_ligand_n14,0.98902774
D-Sorbitol_out_ligand_n17,0.9874621
Meglumine_out_ligand_n14,0.9870627
Glucosamine_out_ligand_n12,0.9855379
DL-Xylose_out_ligand_n18,0.9852762
D-Mannitol_out_ligand_n10,0.9800304
Meglumine_out_ligand_n17,0.9799444
serine_out_ligand_n14,0.9788233
D-Sorbitol_out_ligand_n4,0.9782481
Chloramphenicol_out_ligand_n4,0.97572196
Pralatrexate_out_ligand_n7,0.9751631
D-Mannitol_out_ligand_n20,0.975007
D-Mannitol_out_ligand_n15,0.9746503
Gemcitabine_out_ligand_n11,0.9744331
Meglumine_out_ligand_n19,0.974033
Gemcitabine_out_ligand_n6,0.973315
DL-Xylose_out_ligand_n10,0.97209084
Glucosamine_out_ligand_n14,0.96993375
D-Mannitol_out_ligand_n12,0.96641827
Penciclovir_out_ligand_n5,0.9635163
Chloramphenicol_out_ligand_n10,0.9621682
D-Mannitol_out_ligand_n3,0.9615017
Mandelic_acid_out_ligand_n11,0.9611212
D-Mannitol_out_ligand_n9,0.96050906
DL-Xylose_out_ligand_n2,0.9541392
Xylitol_out_ligand_n4,0.9530307
Chloramphenicol_out_ligand_n15,0.9504144
Mandelic_acid_out_ligand_n17,0.9497528
D-Mannitol_out_ligand_n16,0.9464791
Penciclovir_out_ligand_n8,0.94614077
Xylitol_out_ligand_n1,0.9457946
serine_out_ligand_n6,0.9439707
serine_out_ligand_n19,0.9425816
Myclobutanil_out_ligand_n7,0.93936944
Nebivolol_hydrochloride_out_ligand_n1,0.9380486
Furaltadone_hydrochloride_out_ligand_n1,0.9380486
Clorprenaline_hydrochloride_out_ligand_n1,0.9380486
ALA_hydrochloride_out_ligand_n1,0.9380486
Bestatin_hydrochloride_out_ligand_n1,0.9380486
Dexrazoxane_HCl_out_ligand_n1,0.9380486
Mefloquine_hydrochloride_out_ligand_n1,0.9380486
Nylidrin_hydrochloride_out_ligand_n1,0.9380486
Cinacalcet_hydrochloride_out_ligand_n1,0.9380486
Diphenidol_hydrochloride_out_ligand_n1,0.9380486
Palonosetron_hydrochloride_out_ligand_n1,0.9380486
Puromycin_dihydrochloride_out_ligand_n1,0.9380486
Trifluoperazine_dihydrochloride_out_ligand_n1,0.9380486
Valacyclovir_hydrochloride_out_ligand_n1,0.9380486
Venlafaxine_hydrochloride_out_ligand_n1,0.9380486
Ethambutol_dihydrochloride_out_ligand_n1,0.9380486
Proguanil_hydrochloride_out_ligand_n1,0.9380486
Triflupromazine_hydrochloride_out_ligand_n1,0.9380486
Milnacipran_hydrochloride_out_ligand_n1,0.9380486
L-arginine_monohydrochloride_out_ligand_n1,0.9380486
Propranolol_hydrochloride_out_ligand_n1,0.9380486
Fluoxetine_hydrochloride_out_ligand_n1,0.9380486
Rimantadine_hydrochloride_out_ligand_n1,0.9380486
Orphenadrine_hydrochloride_out_ligand_n1,0.9380486
Isoprenaline_hydrochloride_out_ligand_n1,0.9380486
Heptaminol_hydrochloride_out_ligand_n1,0.9380486
Fluphenazine_hydrochloride_out_ligand_n1,0.9380486
D-Mannitol_out_ligand_n1,0.93674433
Amoxicillin_out_ligand_n17,0.93585706
Gemcitabine_out_ligand_n3,0.934523
Mandelic_acid_out_ligand_n8,0.93186635
D-Mannitol_out_ligand_n7,0.9280306
Fluphenazine_hydrochloride_out_ligand_n20,0.9245032
Propranolol_hydrochloride_out_ligand_n18,0.9245032
Trifluoperazine_dihydrochloride_out_ligand_n19,0.9245032
Valacyclovir_hydrochloride_out_ligand_n20,0.9245032
Ethambutol_dihydrochloride_out_ligand_n20,0.9245032
DL-trihexyphenidyl_hydrochloride_out_ligand_n20,0.9245032
Triflupromazine_hydrochloride_out_ligand_n18,0.9245032
Cinacalcet_hydrochloride_out_ligand_n18,0.9245032
Milnacipran_hydrochloride_out_ligand_n20,0.9245032
serine_out_ligand_n13,0.923821
DL-Xylose_out_ligand_n8,0.92373425
Penciclovir_out_ligand_n3,0.9218066
D-Pantethine_out_ligand_n9,0.9213599
D-Sorbitol_out_ligand_n7,0.9208784
D-Sorbitol_out_ligand_n5,0.92011833
DL-Xylose_out_ligand_n16,0.9197213
Penciclovir_out_ligand_n1,0.9177449
Milnacipran_hydrochloride_out_ligand_n9,0.91675544
Diphenidol_hydrochloride_out_ligand_n8,0.91675544
Isoprenaline_hydrochloride_out_ligand_n7,0.91675544
Cinacalcet_hydrochloride_out_ligand_n10,0.91675544
Orphenadrine_hydrochloride_out_ligand_n7,0.91675544
Sotalol_hydrochloride_out_ligand_n12,0.91675544
Proguanil_hydrochloride_out_ligand_n10,0.91675544
Furaltadone_hydrochloride_out_ligand_n10,0.91675544
Trifluoperazine_dihydrochloride_out_ligand_n10,0.91675544
Clorprenaline_hydrochloride_out_ligand_n10,0.91675544
Glucosamine_out_ligand_n15,0.9151172
Glucosamine_out_ligand_n10,0.9122992
Clofarabine_out_ligand_n1,0.9063413
DL-Xylose_out_ligand_n1,0.9057337
Isoprenaline_hydrochloride_out_ligand_n16,0.900293
Clofarabine_out_ligand_n10,0.90001905
Xylitol_out_ligand_n7,0.898546
D-Sorbitol_out_ligand_n3,0.89616024
DL-Xylose_out_ligand_n14,0.8950615
Teriflunomide_out_ligand_n8,0.8936708
DL-Xylose_out_ligand_n20,0.89267457
L-Aspartic_acid_out_ligand_n12,0.8925303
Ornidazole_out_ligand_n4,0.8900146
serine_out_ligand_n18,0.8898728
Chloramphenicol_out_ligand_n2,0.88625586
Vidarabine_out_ligand_n9,0.8858968
